ID,NAME,PATH
"0","Player","res://Scenes/Element/Player/Player.tscn"
"1","Block","res://Scenes/Element/Barrier/Block.tscn"
"2","Snail","res://Scenes/Element/Snail/Snail.tscn"
"3","Snail","res://Scenes/Element/Misc/Door.tscn"
"4","Snail","res://Scenes/Element/Misc/TargetPoint/TP_NormalSnail.tscn"
"5","Snail","res://Scenes/Element/Misc/TargetPoint/TP_FireSnail.tscn"
"6","Snail","res://Scenes/Element/Misc/TargetPoint/TP_WaterSnail.tscn"
"7","Snail","res://Scenes/Element/Misc/TargetPoint/TP_LeafSnail.tscn"
"8","Snail","res://Scenes/Element/Misc/TargetPoint/TP_MetalSnail.tscn"
"9","Snail","res://Scenes/Element/Misc/TargetPoint/TP_DarkSnail.tscn"
"10","Snail","res://Scenes/Element/Misc/TargetPoint/TP_RainbowSnail.tscn"
"11","Snail","res://Scenes/Element/Misc/TargetPoint/TP_NobleSnail.tscn"
